Name,Disc.Y,Disc.M,Disc.D,r_Disc.D,RAh,RAm,RAs,DE-,DEd,DEm,DEs,f_DEs,Obs,tFirst,tLast,tNext,z,r_z,Dist,e_Dist,r_Dist,VExt
SDSS-II SN 12852,2006,08,27,2010ApJ...713.1026D,20,57,00.73,+,00,41,20.9,,7,-1098,1055,1055,0.264,2010ApJ...713.1026D,1126,79,2010ApJ...713.1026D,0.203
SDSS-II SN 12875,2006,08,27,2007SDSS6.C...0000:,23,48,30.48,-,00,03,43.8588,,16,-1043,739,19,0.26472,2016SDSSD.C...0000:,1129,79,2016SDSSD.C...0000:,0.077
SDSS-II SN 12879,2006,08,27,2007SDSS6.C...0000:,00,29,47.807,-,00,09,43.09,,10,-1057,392,392,0.429,2011ApJ...738..162S,1832,128,2011ApJ...738..162S,0.061
SDSS-II SN 12936,2006,08,28,2010ApJ...713.1026D,02,08,10.91,-,01,03,05.4,,8,-1047,782,782,0.194,2010ApJ...713.1026D,827,58,2010ApJ...713.1026D,0.10099999999999999
SDSS-II SN 12941,2006,08,27,2011ApJ...738..162S,23,47,07.2,-,00,35,57.0228,,6,-1043,731,33,0.286,2011ApJ...738..162S,1220,85,2011ApJ...738..162S,0.126
SDSS-II SN 12974,2006,08,28,2007SDSS6.C...0000:,01,26,34.032,-,00,13,42.0096,,14,-701,759,403,0.3063,2016SDSSD.C...0000:,1307,92,2016SDSSD.C...0000:,0.078
SDSS-II SN 12978,2006,08,28,2011ApJ...738..162S,00,28,40.119,+,00,08,52.52,,8,-705,761,404,0.17,2011ApJ...738..162S,723,51,2011ApJ...738..162S,0.057999999999999996
SDSS-II SN 1302,2005,09,09,2007SDSS6.C...0000:,03,34,37.152,+,00,53,30.851,,4,-652,1180,1180,0.282,2011ApJ...738..162S,1206,84,2011ApJ...738..162S,0.267
SDSS-II SN 13096,2006,09,15,2007SDSS6.C...0000:,23,53,28.8,-,01,12,08.1,,12,-1062,422,37,0.363,2010ApJ...713.1026D,1549,109,2010ApJ...713.1026D,0.075
SDSS-II SN 13108,2006,09,16,2010ApJ...713.1026D,00,39,28.989,-,01,12,01.16,,10,-1064,407,385,0.288,2010ApJ...713.1026D,1023,72,2011ApJ...738..162S,0.067
