file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
PSc110567-NUV.fits.gz,PSc110567,NUV,52.71314583333334,-26.45998333333333,62,2005-12-10,2010-12-08,2010-12-16,62,0,-1831.0,-7.0,
PSc110647-FUV.fits.gz,PSc110647,FUV,54.16782083333333,-27.06578611111111,26,2003-12-07,2008-12-12,2010-12-15,26,0,-2564.0,-732.0,
PSc110647-NUV.fits.gz,PSc110647,NUV,54.16782083333333,-27.06578611111111,62,2003-12-07,2010-12-08,2010-12-15,62,0,-2564.0,-6.0,
PSc110725-FUV.fits.gz,PSc110725,FUV,130.2661541666667,44.486575,7,2004-01-16,2008-03-24,2009-12-27,7,0,-2172.0,-642.0,
PSc110725-NUV.fits.gz,PSc110725,NUV,130.2661541666667,44.486575,8,2004-01-16,2010-01-14,2009-12-27,7,1,-2172.0,19.0,19.0
PSc110726-FUV.fits.gz,PSc110726,FUV,130.7563125,44.49585,9,2004-01-16,2008-03-24,2010-12-18,9,0,-2528.0,-998.0,
PSc110726-NUV.fits.gz,PSc110726,NUV,130.7563125,44.49585,10,2004-01-16,2008-03-24,2010-12-18,10,0,-2528.0,-998.0,
PSc110734-FUV.fits.gz,PSc110734,FUV,131.068925,45.34420277777778,8,2004-01-16,2008-03-24,2010-12-31,8,0,-2541.0,-1012.0,
PSc110734-NUV.fits.gz,PSc110734,NUV,131.068925,45.34420277777778,8,2004-01-16,2008-03-24,2010-12-31,8,0,-2541.0,-1012.0,
PSc120039-FUV.fits.gz,PSc120039,FUV,149.1086833333333,1.535105555555556,17,2006-02-03,2008-03-25,2010-12-30,17,0,-1790.0,-1010.0,
PSc120039-NUV.fits.gz,PSc120039,NUV,149.1086833333333,1.535105555555556,38,2005-03-13,2011-02-16,2010-12-30,29,9,-2117.0,49.0,33.0
PSc120111-FUV.fits.gz,PSc120111,FUV,150.2239166666667,2.521916666666667,136,2004-02-10,2008-03-25,2010-12-30,136,0,-2515.0,-1010.0,
PSc120111-NUV.fits.gz,PSc120111,NUV,150.2239166666667,2.521916666666667,176,2004-02-10,2011-02-16,2010-12-30,166,10,-2515.0,48.0,33.0
PSc120223-FUV.fits.gz,PSc120223,FUV,149.7616291666667,3.127327777777778,21,2006-02-03,2008-03-24,2011-01-02,21,0,-1793.0,-1013.0,
PSc120223-NUV.fits.gz,PSc120223,NUV,149.7616291666667,3.127327777777778,42,2006-02-03,2011-02-16,2011-01-02,33,9,-1793.0,45.0,29.0
PSc120313-FUV.fits.gz,PSc120313,FUV,150.8779583333333,2.868013888888889,16,2006-02-27,2008-03-25,2010-12-30,16,0,-1766.0,-1010.0,
PSc120313-NUV.fits.gz,PSc120313,NUV,150.8779583333333,2.868013888888889,38,2006-02-27,2012-01-25,2010-12-30,27,11,-1766.0,391.0,32.0
PSc120458-FUV.fits.gz,PSc120458,FUV,149.5278958333333,1.930383333333333,64,2004-02-10,2008-03-25,2011-01-09,64,0,-2524.0,-1020.0,
PSc120458-NUV.fits.gz,PSc120458,NUV,149.5278958333333,1.930383333333333,96,2004-02-10,2011-03-09,2011-01-09,86,10,-2524.0,59.0,23.0
PSc120553-FUV.fits.gz,PSc120553,FUV,130.9546875,44.13420277777778,12,2004-01-16,2008-03-24,2011-01-22,12,0,-2563.0,-1033.0,
PSc120553-NUV.fits.gz,PSc120553,NUV,130.9546875,44.13420277777778,13,2004-01-16,2008-03-24,2011-01-22,13,0,-2563.0,-1033.0,
