name,SDSS,ESSENCE,PanSTARRS,PanSTARRS2,SNLS,rochester,Nspec,OSC,manual,total
SDSS-II SN 15074,0.994,0,0,0,0,0,0,1,0,0.994
SDSS-II SN 15075,0.991,0,0,0,0,0,0,1,0,0.991
SDSS-II SN 15080,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 15093,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 15101,0.995,0,0,0,0,0,0,1,0,0.995
SDSS-II SN 15103,0.998,0,0,0,0,0,0,1,0,0.998
SDSS-II SN 15108,0.982,0,0,0,0,0,0,1,0,0.982
SDSS-II SN 15137,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15160,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15198,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15239,0.995,0,0,0,0,0,0,1,0,0.995
SDSS-II SN 15255,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15272,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15291,0.983,0,0,0,0,0,0,1,0,0.983
SDSS-II SN 15294,0.988,0,0,0,0,0,0,1,0,0.988
SDSS-II SN 15324,0.985,0,0,0,0,0,0,1,0,0.985
SDSS-II SN 15347,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15353,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 15359,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15370,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 15401,0.965,0,0,0,0,0,0,1,0,0.965
SDSS-II SN 15417,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15418,0.952,0,0,0,0,0,0,1,0,0.952
SDSS-II SN 15419,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15422,0.938,0,0,0,0,0,0,1,0,0.938
SDSS-II SN 15455,0.989,0,0,0,0,0,0,1,0,0.989
SDSS-II SN 15467,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15470,0.968,0,0,0,0,0,0,1,0,0.968
SDSS-II SN 15486,-1,0,0,0,0,0,0,1,0,-1
SDSS-II SN 15489,0.81,0,0,0,0,0,0,1,0,0.81
SDSS-II SN 15496,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15505,0.943,0,0,0,0,0,0,1,0,0.943
SDSS-II SN 15516,0.973,0,0,0,0,0,0,1,0,0.973
SDSS-II SN 15525,0.964,0,0,0,0,0,0,1,0,0.964
SDSS-II SN 15526,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 15533,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 15539,0.992,0,0,0,0,0,0,-1,0,0.992
SDSS-II SN 15549,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15587,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15603,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15633,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 15655,0.985,0,0,0,0,0,0,1,0,0.985
SDSS-II SN 15675,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15690,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 15697,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15710,0.566,0,0,0,0,0,0,1,0,0.566
SDSS-II SN 15726,0.988,0,0,0,0,0,0,1,0,0.988
SDSS-II SN 15727,0,0,0,0,0,0,0,-1,-1,-1
SDSS-II SN 15730,0.942,0,0,0,0,0,0,1,0,0.942
SDSS-II SN 15737,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 15748,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15751,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15755,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 15761,0.961,0,0,0,0,0,0,1,0,0.961
SDSS-II SN 15765,0.882,0,0,0,0,0,0,1,0,0.882
SDSS-II SN 15779,1,0,0,0,0,0,0,1,0,1
